,values
616,7319.335938
617,7314.453125
618,7319.335938
619,7314.453125
620,7309.570312
621,7314.453125
622,7309.570312
623,7304.6875
624,7309.570312
625,7304.6875
626,7294.921875
627,7309.570312
628,7299.804688
629,7304.6875
630,7299.804688
631,7299.804688
632,7304.6875
633,7294.921875
634,7299.804688
635,7294.921875
636,7294.921875
637,7290.039062
638,7280.273438
639,7285.15625
640,7280.273438
641,7285.15625
642,7290.039062
643,7285.15625
644,7280.273438
645,7285.15625
646,7275.390625
647,7270.507812
648,7285.15625
649,7260.742188
650,7260.742188
651,7270.507812
652,7265.625
653,7260.742188
654,7265.625
655,7265.625
656,7265.625
657,7260.742188
658,7246.09375
659,7255.859375
660,7246.09375
661,7236.328125
662,7241.210938
663,7241.210938
664,7246.09375
665,7236.328125
666,7236.328125
667,7241.210938
668,7226.5625
669,7221.679688
670,7236.328125
671,7221.679688
672,7221.679688
673,7216.796875
674,7211.914062
675,7236.328125
676,7216.796875
677,7216.796875
678,7221.679688
679,7216.796875
680,7207.03125
681,7216.796875
682,7211.914062
683,7211.914062
684,7211.914062
685,7216.796875
686,7207.03125
687,7207.03125
688,7207.03125
689,7202.148438
690,7202.148438
691,7192.382812
692,7202.148438
693,7202.148438
694,7197.265625
695,7197.265625
696,7192.382812
697,7197.265625
698,7202.148438
699,7197.265625
700,7192.382812
701,7197.265625
702,7192.382812
703,7197.265625
704,7187.5
705,7192.382812
706,7187.5
707,7187.5
708,7192.382812
709,7182.617188
710,7187.5
711,7182.617188
712,7182.617188
713,7177.734375
714,7187.5
715,7172.851562
716,7177.734375
717,7172.851562
718,7177.734375
719,7167.96875
720,7172.851562
721,7153.320312
722,7158.203125
723,7163.085938
724,7158.203125
725,7163.085938
726,7158.203125
727,7163.085938
728,7158.203125
729,7167.96875
730,7143.554688
731,7153.320312
732,7148.4375
733,7153.320312
734,7153.320312
735,7148.4375
736,7148.4375
737,7148.4375
738,7153.320312
739,7148.4375
740,7148.4375
741,7133.789062
742,7148.4375
743,7143.554688
744,7148.4375
745,7143.554688
746,7143.554688
747,7143.554688
748,7143.554688
749,7128.90625
750,7133.789062
751,7133.789062
752,7133.789062
753,7124.023438
754,7128.90625
755,7124.023438
756,7119.140625
757,7128.90625
758,7119.140625
759,7119.140625
760,7109.375
761,7119.140625
762,7119.140625
763,7109.375
764,7104.492188
765,7109.375
766,7109.375
767,7104.492188
768,7109.375
769,7104.492188
770,7099.609375
771,7109.375
772,7104.492188
773,7099.609375
774,7109.375
775,7094.726562
776,7099.609375
777,7104.492188
778,7094.726562
779,7099.609375
780,7094.726562
781,7099.609375
782,7089.84375
783,7094.726562
784,7094.726562
785,7094.726562
786,7094.726562
787,7089.84375
788,7084.960938
789,7084.960938
790,7089.84375
791,7084.960938
792,7094.726562
793,7089.84375
794,7084.960938
795,7089.84375
796,7084.960938
797,7084.960938
798,7089.84375
799,7080.078125
800,7080.078125
801,7084.960938
802,7089.84375
803,7075.195312
804,7080.078125
805,7080.078125
806,7080.078125
807,7080.078125
808,7080.078125
809,7080.078125
810,7080.078125
811,7080.078125
812,7084.960938
813,7075.195312
814,7075.195312
815,7075.195312
816,7070.3125
817,7065.429688
818,7084.960938
819,7060.546875
820,7065.429688
821,7075.195312
822,7065.429688
823,7055.664062
824,7065.429688
825,7060.546875
826,7060.546875
827,7065.429688
828,7050.78125
829,7055.664062
830,7055.664062
831,7050.78125
832,7055.664062
833,7050.78125
834,7055.664062
835,7045.898438
836,7045.898438
837,7041.015625
838,7045.898438
839,7041.015625
840,7041.015625
841,7036.132812
842,7041.015625
843,7036.132812
844,7041.015625
845,7031.25
846,7041.015625
847,7031.25
848,7031.25
849,7026.367188
850,7026.367188
851,7031.25
852,7021.484375
853,7026.367188
854,7021.484375
855,7021.484375
856,7026.367188
857,7021.484375
858,7016.601562
859,7011.71875
860,7016.601562
861,7016.601562
862,7006.835938
863,7016.601562
864,7011.71875
865,7006.835938
866,7011.71875
867,7016.601562
868,7001.953125
869,7006.835938
870,7006.835938
871,7011.71875
872,7001.953125
873,7006.835938
874,7001.953125
875,7006.835938
876,7001.953125
877,7006.835938
878,7001.953125
879,6992.1875
880,6992.1875
881,7011.71875
882,6987.304688
883,6992.1875
884,7001.953125
885,6992.1875
886,6982.421875
887,7001.953125
888,6987.304688
889,6982.421875
890,6987.304688
891,6977.539062
892,6977.539062
893,6977.539062
894,6982.421875
895,6977.539062
896,6977.539062
897,6972.65625
898,6972.65625
899,6972.65625
900,6977.539062
901,6967.773438
902,6977.539062
903,6967.773438
904,6967.773438
905,6977.539062
906,6967.773438
907,6962.890625
908,6972.65625
909,6972.65625
910,6962.890625
911,6967.773438
912,6962.890625
913,6967.773438
914,6958.007812
915,6958.007812
916,6953.125
917,6958.007812
918,6958.007812
919,6953.125
920,6948.242188
921,6948.242188
922,6953.125
923,6948.242188
924,6943.359375
925,6948.242188
926,6943.359375
927,6943.359375
928,6943.359375
929,6938.476562
930,6943.359375
931,6938.476562
932,6933.59375
933,6943.359375
934,6928.710938
935,6933.59375
936,6938.476562
937,6928.710938
938,6928.710938
939,6928.710938
940,6928.710938
941,6923.828125
942,6933.59375
943,6914.0625
944,6918.945312
945,6918.945312
946,6909.179688
947,6914.0625
948,6918.945312
949,6904.296875
950,6914.0625
951,6914.0625
952,6904.296875
953,6909.179688
954,6904.296875
955,6904.296875
956,6904.296875
957,6909.179688
958,6899.414062
959,6899.414062
960,6904.296875
961,6889.648438
962,6899.414062
963,6894.53125
964,6889.648438
965,6889.648438
966,6899.414062
967,6870.117188
968,6875.0
969,6879.882812
970,6879.882812
971,6879.882812
972,6889.648438
973,6870.117188
974,6879.882812
975,6875.0
976,6875.0
977,6875.0
978,6865.234375
979,6875.0
980,6865.234375
981,6860.351562
982,6870.117188
983,6865.234375
984,6860.351562
985,6865.234375
986,6855.46875
987,6860.351562
988,6850.585938
989,6855.46875
990,6840.820312
991,6860.351562
992,6850.585938
993,6845.703125
994,6850.585938
995,6845.703125
996,6840.820312
997,6835.9375
998,6845.703125
999,6840.820312
1000,6835.9375
1001,6840.820312
1002,6835.9375
1003,6831.054688
1004,6831.054688
1005,6835.9375
1006,6835.9375
1007,6835.9375
1008,6826.171875
1009,6826.171875
1010,6831.054688
1011,6826.171875
1012,6826.171875
1013,6821.289062
1014,6821.289062
1015,6826.171875
1016,6811.523438
1017,6821.289062
1018,6811.523438
1019,6826.171875
1020,6816.40625
1021,6811.523438
1022,6816.40625
1023,6806.640625
1024,6811.523438
1025,6811.523438
1026,6816.40625
1027,6806.640625
1028,6806.640625
1029,6801.757812
1030,6796.875
1031,6806.640625
1032,6806.640625
1033,6801.757812
1034,6796.875
1035,6801.757812
1036,6787.109375
1037,6796.875
1038,6791.992188
1039,6791.992188
1040,6791.992188
1041,6782.226562
1042,6791.992188
1043,6791.992188
1044,6787.109375
1045,6801.757812
1046,6777.34375
1047,6787.109375
1048,6772.460938
1049,6787.109375
1050,6782.226562
1051,6777.34375
1052,6772.460938
1053,6777.34375
1054,6772.460938
1055,6777.34375
1056,6777.34375
1057,6762.695312
1058,6762.695312
1059,6772.460938
1060,6757.8125
1061,6757.8125
1062,6762.695312
1063,6752.929688
1064,6752.929688
1065,6762.695312
1066,6748.046875
1067,6748.046875
1068,6757.8125
1069,6748.046875
1070,6752.929688
1071,6752.929688
1072,6743.164062
1073,6748.046875
1074,6748.046875
1075,6743.164062
1076,6752.929688
1077,6743.164062
1078,6738.28125
1079,6743.164062
1080,6748.046875
1081,6733.398438
1082,6743.164062
1083,6743.164062
1084,6733.398438
1085,6738.28125
1086,6733.398438
1087,6728.515625
1088,6738.28125
1089,6733.398438
1090,6733.398438
1091,6733.398438
1092,6733.398438
1093,6718.75
1094,6733.398438
1095,6723.632812
1096,6728.515625
1097,6728.515625
1098,6723.632812
1099,6738.28125
1100,6718.75
1101,6733.398438
1102,6728.515625
1103,6723.632812
1104,6728.515625
1105,6728.515625
1106,6718.75
1107,6718.75
1108,6718.75
1109,6718.75
1110,6723.632812
1111,6713.867188
1112,6713.867188
1113,6718.75
1114,6708.984375
1115,6713.867188
1116,6708.984375
1117,6718.75
1118,6708.984375
1119,6708.984375
1120,6704.101562
1121,6708.984375
1122,6704.101562
1123,6713.867188
1124,6704.101562
1125,6704.101562
1126,6699.21875
1127,6694.335938
1128,6704.101562
1129,6699.21875
1130,6689.453125
1131,6704.101562
1132,6699.21875
1133,6689.453125
1134,6689.453125
1135,6694.335938
1136,6694.335938
1137,6689.453125
1138,6689.453125
1139,6684.570312
1140,6694.335938
1141,6679.6875
1142,6689.453125
1143,6689.453125
1144,6684.570312
1145,6679.6875
1146,6674.804688
1147,6679.6875
1148,6669.921875
1149,6679.6875
1150,6674.804688
1151,6674.804688
1152,6679.6875
1153,6660.15625
1154,6674.804688
1155,6669.921875
1156,6665.039062
1157,6660.15625
1158,6665.039062
1159,6674.804688
1160,6660.15625
1161,6660.15625
1162,6665.039062
1163,6660.15625
1164,6660.15625
1165,6655.273438
1166,6645.507812
1167,6655.273438
1168,6645.507812
1169,6640.625
1170,6645.507812
1171,6645.507812
1172,6640.625
1173,6640.625
1174,6635.742188
1175,6640.625
1176,6635.742188
1177,6640.625
1178,6625.976562
1179,6640.625
1180,6625.976562
1181,6635.742188
1182,6625.976562
1183,6635.742188
1184,6621.09375
1185,6625.976562
1186,6630.859375
1187,6616.210938
1188,6630.859375
1189,6616.210938
1190,6621.09375
1191,6616.210938
1192,6616.210938
1193,6616.210938
1194,6611.328125
1195,6611.328125
1196,6616.210938
1197,6616.210938
1198,6611.328125
1199,6616.210938
1200,6611.328125
1201,6601.5625
1202,6606.445312
1203,6601.5625
1204,6606.445312
1205,6601.5625
1206,6601.5625
1207,6601.5625
1208,6596.679688
1209,6596.679688
1210,6591.796875
1211,6596.679688
1212,6601.5625
1213,6586.914062
1214,6586.914062
1215,6586.914062
1216,6586.914062
1217,6582.03125
1218,6596.679688
1219,6577.148438
1220,6586.914062
1221,6582.03125
1222,6582.03125
1223,6582.03125
1224,6586.914062
1225,6572.265625
1226,6582.03125
1227,6572.265625
1228,6572.265625
1229,6572.265625
1230,6577.148438
1231,6567.382812
1232,6572.265625
1233,6567.382812
1234,6572.265625
1235,6567.382812
1236,6572.265625
1237,6567.382812
1238,6562.5
1239,6562.5
1240,6567.382812
1241,6562.5
1242,6572.265625
1243,6557.617188
1244,6557.617188
1245,6557.617188
1246,6552.734375
1247,6557.617188
1248,6557.617188
1249,6552.734375
1250,6557.617188
1251,6547.851562
1252,6557.617188
1253,6552.734375
1254,6547.851562
1255,6547.851562
1256,6547.851562
1257,6542.96875
1258,6552.734375
1259,6542.96875
1260,6542.96875
1261,6547.851562
1262,6547.851562
1263,6533.203125
1264,6542.96875
1265,6533.203125
1266,6533.203125
1267,6533.203125
1268,6533.203125
1269,6533.203125
1270,6528.320312
1271,6518.554688
1272,6542.96875
1273,6533.203125
1274,6528.320312
1275,6533.203125
1276,6523.4375
1277,6528.320312
1278,6523.4375
1279,6523.4375
1280,6523.4375
1281,6528.320312
1282,6518.554688
1283,6518.554688
1284,6518.554688
1285,6523.4375
1286,6518.554688
1287,6518.554688
1288,6508.789062
1289,6518.554688
1290,6518.554688
1291,6518.554688
1292,6513.671875
1293,6513.671875
1294,6513.671875
1295,6518.554688
1296,6508.789062
1297,6513.671875
1298,6513.671875
1299,6518.554688
1300,6508.789062
1301,6503.90625
1302,6508.789062
1303,6503.90625
1304,6499.023438
1305,6508.789062
1306,6499.023438
1307,6499.023438
1308,6503.90625
1309,6499.023438
1310,6499.023438
1311,6503.90625
1312,6494.140625
1313,6503.90625
1314,6499.023438
1315,6503.90625
1316,6499.023438
1317,6494.140625
1318,6489.257812
1319,6494.140625
1320,6494.140625
1321,6494.140625
1322,6489.257812
1323,6489.257812
1324,6494.140625
1325,6489.257812
1326,6484.375
1327,6484.375
1328,6494.140625
1329,6489.257812
1330,6484.375
1331,6484.375
1332,6489.257812
1333,6479.492188
1334,6479.492188
1335,6489.257812
1336,6479.492188
1337,6479.492188
1338,6489.257812
1339,6474.609375
1340,6484.375
1341,6479.492188
1342,6479.492188
1343,6474.609375
1344,6479.492188
1345,6469.726562
1346,6469.726562
1347,6479.492188
1348,6469.726562
1349,6479.492188
1350,6474.609375
1351,6469.726562
1352,6469.726562
1353,6479.492188
1354,6469.726562
1355,6469.726562
1356,6474.609375
1357,6469.726562
1358,6469.726562
1359,6474.609375
1360,6464.84375
1361,6464.84375
1362,6469.726562
1363,6469.726562
1364,6459.960938
1365,6464.84375
1366,6459.960938
1367,6464.84375
1368,6464.84375
1369,6459.960938
1370,6459.960938
1371,6464.84375
1372,6464.84375
1373,6459.960938
1374,6459.960938
1375,6459.960938
1376,6455.078125
1377,6450.195312
1378,6464.84375
1379,6455.078125
1380,6450.195312
1381,6464.84375
1382,6450.195312
1383,6445.3125
1384,6455.078125
1385,6455.078125
1386,6455.078125
1387,6450.195312
1388,6445.3125
1389,6455.078125
1390,6445.3125
1391,6450.195312
1392,6455.078125
1393,6445.3125
1394,6455.078125
1395,6445.3125
1396,6445.3125
1397,6440.429688
1398,6450.195312
1399,6445.3125
1400,6440.429688
1401,6435.546875
1402,6445.3125
1403,6440.429688
1404,6440.429688
1405,6435.546875
1406,6435.546875
1407,6435.546875
1408,6435.546875
1409,6435.546875
1410,6435.546875
1411,6440.429688
1412,6440.429688
1413,6430.664062
1414,6430.664062
1415,6425.78125
1416,6430.664062
1417,6425.78125
1418,6430.664062
1419,6425.78125
1420,6416.015625
1421,6425.78125
1422,6425.78125
1423,6416.015625
1424,6416.015625
1425,6425.78125
1426,6425.78125
1427,6425.78125
1428,6425.78125
1429,6416.015625
1430,6416.015625
1431,6425.78125
1432,6401.367188
1433,6416.015625
1434,6416.015625
1435,6411.132812
1436,6416.015625
1437,6406.25
1438,6411.132812
1439,6416.015625
1440,6416.015625
1441,6401.367188
1442,6411.132812
1443,6411.132812
1444,6396.484375
1445,6411.132812
1446,6406.25
1447,6406.25
1448,6401.367188
1449,6406.25
1450,6391.601562
1451,6411.132812
1452,6396.484375
1453,6396.484375
1454,6396.484375
1455,6401.367188
1456,6396.484375
1457,6391.601562
1458,6396.484375
1459,6396.484375
1460,6396.484375
1461,6396.484375
1462,6391.601562
1463,6391.601562
1464,6386.71875
1465,6396.484375
1466,6396.484375
1467,6386.71875
1468,6396.484375
1469,6381.835938
1470,6381.835938
1471,6391.601562
1472,6381.835938
1473,6376.953125
1474,6381.835938
1475,6386.71875
1476,6376.953125
1477,6381.835938
1478,6381.835938
1479,6386.71875
1480,6372.070312
1481,6372.070312
1482,6376.953125
1483,6376.953125
1484,6376.953125
1485,6372.070312
1486,6372.070312
1487,6372.070312
1488,6367.1875
1489,6367.1875
1490,6376.953125
1491,6367.1875
1492,6367.1875
1493,6362.304688
1494,6367.1875
1495,6367.1875
1496,6367.1875
1497,6372.070312
1498,6357.421875
1499,6367.1875
1500,6357.421875
1501,6357.421875
1502,6362.304688
1503,6357.421875
1504,6352.539062
1505,6357.421875
1506,6357.421875
1507,6352.539062
1508,6367.1875
1509,6352.539062
1510,6352.539062
1511,6362.304688
1512,6347.65625
1513,6357.421875
1514,6347.65625
1515,6357.421875
1516,6342.773438
1517,6347.65625
1518,6347.65625
1519,6342.773438
1520,6352.539062
1521,6342.773438
1522,6347.65625
1523,6337.890625
1524,6342.773438
1525,6342.773438
1526,6337.890625
1527,6342.773438
1528,6337.890625
1529,6337.890625
1530,6342.773438
1531,6328.125
1532,6328.125
1533,6337.890625
1534,6328.125
1535,6328.125
1536,6333.007812
1537,6337.890625
1538,6328.125
1539,6323.242188
1540,6333.007812
1541,6328.125
1542,6328.125
1543,6323.242188
1544,6323.242188
1545,6313.476562
1546,6328.125
1547,6318.359375
1548,6318.359375
1549,6328.125
1550,6318.359375
1551,6323.242188
1552,6308.59375
1553,6328.125
1554,6313.476562
1555,6318.359375
1556,6318.359375
1557,6318.359375
1558,6313.476562
1559,6318.359375
1560,6313.476562
1561,6313.476562
1562,6308.59375
1563,6308.59375
1564,6313.476562
1565,6313.476562
1566,6298.828125
1567,6313.476562
1568,6298.828125
1569,6308.59375
1570,6308.59375
1571,6289.0625
1572,6298.828125
1573,6289.0625
1574,6289.0625
1575,6308.59375
1576,6298.828125
1577,6293.945312
1578,6284.179688
1579,6298.828125
1580,6293.945312
1581,6289.0625
1582,6308.59375
1583,6289.0625
1584,6293.945312
1585,6293.945312
1586,6284.179688
1587,6284.179688
1588,6289.0625
1589,6279.296875
1590,6289.0625
1591,6289.0625
1592,6279.296875
1593,6284.179688
1594,6284.179688
1595,6284.179688
1596,6279.296875
1597,6284.179688
1598,6279.296875
1599,6279.296875
1600,6279.296875
1601,6289.0625
1602,6269.53125
1603,6284.179688
1604,6264.648438
1605,6274.414062
1606,6274.414062
1607,6274.414062
1608,6264.648438
1609,6279.296875
1610,6264.648438
1611,6274.414062
1612,6274.414062
1613,6264.648438
1614,6269.53125
1615,6269.53125
1616,6259.765625
1617,6274.414062
1618,6259.765625
1619,6264.648438
1620,6269.53125
1621,6254.882812
1622,6254.882812
1623,6264.648438
1624,6254.882812
1625,6264.648438
1626,6259.765625
1627,6254.882812
1628,6254.882812
1629,6254.882812
1630,6240.234375
1631,6259.765625
1632,6254.882812
1633,6250.0
1634,6250.0
1635,6250.0
1636,6250.0
1637,6245.117188
1638,6240.234375
1639,6245.117188
1640,6230.46875
1641,6240.234375
1642,6240.234375
1643,6240.234375
1644,6240.234375
1645,6245.117188
1646,6230.46875
1647,6245.117188
1648,6230.46875
1649,6235.351562
1650,6235.351562
1651,6230.46875
1652,6230.46875
1653,6230.46875
1654,6230.46875
1655,6230.46875
1656,6225.585938
1657,6220.703125
1658,6225.585938
1659,6230.46875
1660,6230.46875
1661,6225.585938
1662,6225.585938
1663,6220.703125
1664,6215.820312
1665,6225.585938
1666,6220.703125
1667,6220.703125
1668,6225.585938
1669,6220.703125
1670,6215.820312
1671,6225.585938
1672,6206.054688
1673,6220.703125
1674,6210.9375
1675,6210.9375
1676,6210.9375
1677,6206.054688
1678,6206.054688
1679,6210.9375
1680,6210.9375
1681,6196.289062
1682,6210.9375
1683,6210.9375
