,values
370,-673.828125
371,-673.828125
372,-673.828125
373,-673.828125
374,-673.828125
375,-673.828125
376,-673.828125
377,-673.828125
378,-673.828125
379,-673.828125
380,-668.945312
381,-673.828125
382,-673.828125
383,-668.945312
384,-673.828125
385,-673.828125
386,-673.828125
387,-673.828125
388,-673.828125
389,-673.828125
390,-673.828125
391,-673.828125
392,-673.828125
393,-673.828125
394,-673.828125
395,-673.828125
396,-673.828125
397,-673.828125
398,-668.945312
399,-673.828125
400,-673.828125
401,-668.945312
402,-673.828125
403,-673.828125
404,-673.828125
405,-668.945312
406,-673.828125
407,-673.828125
408,-673.828125
409,-673.828125
410,-673.828125
411,-673.828125
412,-673.828125
413,-673.828125
414,-673.828125
415,-673.828125
416,-668.945312
417,-673.828125
418,-668.945312
419,-673.828125
420,-673.828125
421,-673.828125
422,-668.945312
423,-668.945312
424,-668.945312
425,-673.828125
426,-673.828125
427,-673.828125
428,-673.828125
429,-673.828125
430,-673.828125
431,-673.828125
432,-673.828125
433,-673.828125
434,-673.828125
435,-673.828125
436,-673.828125
437,-673.828125
438,-668.945312
439,-673.828125
440,-673.828125
441,-673.828125
442,-673.828125
443,-673.828125
444,-673.828125
445,-673.828125
446,-673.828125
447,-673.828125
448,-668.945312
449,-673.828125
450,-673.828125
451,-668.945312
452,-673.828125
453,-673.828125
454,-673.828125
455,-673.828125
456,-673.828125
457,-673.828125
458,-693.359375
459,-673.828125
460,-673.828125
461,-673.828125
462,-703.125
463,-747.070312
464,-673.828125
465,-708.007812
466,-751.953125
467,-776.367188
468,-786.132812
469,-693.359375
470,-781.25
471,-786.132812
472,-815.429688
473,-810.546875
474,-791.015625
475,-849.609375
476,-805.664062
477,-825.195312
478,-849.609375
479,-825.195312
480,-844.726562
481,-869.140625
482,-859.375
483,-859.375
484,-830.078125
485,-844.726562
486,-878.90625
487,-805.664062
488,-898.4375
489,-888.671875
490,-927.734375
491,-937.5
492,-878.90625
493,-869.140625
494,-913.085938
495,-903.320312
496,-937.5
497,-957.03125
498,-932.617188
499,-976.5625
500,-942.382812
501,-966.796875
502,-981.445312
503,-957.03125
504,-932.617188
505,-981.445312
506,-908.203125
507,-1044.921875
508,-991.210938
509,-986.328125
510,-996.09375
511,-986.328125
512,-1044.921875
513,-961.914062
514,-1049.804688
515,-1044.921875
516,-991.210938
517,-1049.804688
518,-1020.507812
519,-1069.335938
520,-1000.976562
521,-986.328125
522,-1074.21875
523,-1005.859375
524,-1054.6875
525,-1098.632812
526,-986.328125
527,-1049.804688
528,-996.09375
529,-1015.625
530,-1049.804688
531,-1015.625
532,-1069.335938
533,-996.09375
534,-1010.742188
